LOGTTID;NOTTID;T:concept:name;E:time:timestamp;E:concept:name;LOTETT;E:lifecycle:transition
98282113;1;40521629;2/10/2017 11:00;ENTREGADO;182381-A;complete
98202881;0;40521629;11/9/2017 20:47;IMPUESTA;182381-A;start
98421203;3;40527936;20/10/2017 10:15;ENTREGA EN OFICINA;182681-A;complete
98418574;2;40527936;19/10/2017 16:15;CERRADO/AUSENTE/1-VISIT;182681-A;middle
98221184;0;40527936;15/9/2017 8:37;IMPUESTA;182681-A;start
98421200;1;40540684;17/10/2017 11:22;ENTREGADO;183341-A;complete
98300171;2;40540684;5/10/2017 11:20;CERRADO/AUSENTE/1-VISIT;183341-A;middle
98252283;0;40540684;22/9/2017 14:51;IMPUESTA;183341-A;start
98361537;9;40540684;13/10/2017 10:00;PLAZO VENCIDO NO RECL.;183341-A;complete
98282134;2;40550214;3/10/2017 13:00;CERRADO/AUSENTE/1-VISIT;183561-B;middle
98282135;9;40550214;3/10/2017 16:00;PLAZO VENCIDO NO RECL.;183561-B;complete
98272125;0;40550214;29/9/2017 16:42;IMPUESTA;183561-B;start
98282133;6;40550217;3/10/2017 13:00;SE MUDO;183561-B;complete
98272124;0;40550217;29/9/2017 16:42;IMPUESTA;183561-B;start
98282129;2;40550218;3/10/2017 13:00;CERRADO/AUSENTE/1-VISIT;183561-B;middle
98282130;9;40550218;3/10/2017 16:00;PLAZO VENCIDO NO RECL.;183561-B;complete
98272121;0;40550218;29/9/2017 16:42;IMPUESTA;183561-B;start
98282126;1;40550220;3/10/2017 13:00;ENTREGADO;183561-B;complete
98272119;0;40550220;29/9/2017 16:42;IMPUESTA;183561-B;start
98282125;20;40550223;3/10/2017 13:00;DESCONOCIDO;183561-B;complete
98272118;0;40550223;29/9/2017 16:42;IMPUESTA;183561-B;start
98282147;2;40550350;3/10/2017 11:40;CERRADO/AUSENTE/1-VISIT;183561-B;middle
98282148;9;40550350;3/10/2017 11:45;PLAZO VENCIDO NO RECL.;183561-B;complete
98272136;0;40550350;29/9/2017 16:27;IMPUESTA;183561-B;start
98421221;2;40551602;26/10/2017 16:33;CERRADO/AUSENTE/1-VISIT;183561-B;middle
98277923;0;40551602;29/9/2017 16:30;IMPUESTA;183561-B;start
98427493;9;40551602;31/10/2017 10:46;PLAZO VENCIDO NO RECL.;183561-B;complete
98421236;9;40551890;27/10/2017 18:44;PLAZO VENCIDO NO RECL.;183561-B;complete
