Year,Country,Total,SolidFuel,LiquidFuel,GasFuel,Cement,GasFlaring,PerCapita,Bunkerfuels
1751,UNITED KINGDOM,2552,2552,0,0,0,0,0,0
1752,UNITED KINGDOM,2553,2553,0,0,0,0,0,0
1753,UNITED KINGDOM,2553,2553,0,0,0,0,0,0
1754,UNITED KINGDOM,2554,2554,0,0,0,0,0,0
1755,UNITED KINGDOM,2555,2555,0,0,0,0,0,0
1756,UNITED KINGDOM,2731,2731,0,0,0,0,0,0
1757,UNITED KINGDOM,2732,2732,0,0,0,0,0,0
1758,UNITED KINGDOM,2733,2733,0,0,0,0,0,0
1759,UNITED KINGDOM,2734,2734,0,0,0,0,0,0
1760,UNITED KINGDOM,2734,2734,0,0,0,0,0,0
1761,UNITED KINGDOM,2995,2995,0,0,0,0,0,0
1762,UNITED KINGDOM,2996,2996,0,0,0,0,0,0
